t (sec),1W force (mN),1W st dev,2W force (mN),2W st dev,3W force (mN),3W st dev,4W force (mN),4W st dev
7.6000000000000005,0.8266560000000002,0.4789412619246749,-0.588273,0.6699477490685375,0.361662,0.5112646830028456,1.781169,1.846338487383069
7.800000000000001,0.7844729999999999,0.46858906035886067,-0.5735580000000001,0.6614764663704977,0.33419400000000005,0.481298457763995,1.7752830000000002,1.8178319701705108
8.0,0.7812030000000001,0.45344867275359846,-0.5526300000000001,0.6415821666146901,0.33615600000000007,0.49856059048224016,1.7756100000000001,1.8303477915199613
8.200000000000001,0.749157,0.46330788179568017,-0.5846760000000001,0.6213259873512454,0.354795,0.499180468085441,1.742583,1.8074761647158726
8.4,0.782184,0.4850681010105696,-0.5781360000000001,0.6055105894482772,0.337137,0.47073986873219054,1.7494500000000002,1.834944758887308
8.6,0.816192,0.4808828245903569,-0.5568810000000001,0.5794615307731826,0.33909900000000004,0.4776508599364185,1.7324460000000002,1.8314642086183393
8.8,0.8825730000000002,0.5553166721808378,-0.5738850000000001,0.6236141203645088,0.345312,0.488444093384289,1.7402939999999998,1.8316502119777127
9.0,0.8874780000000001,0.5752382651319365,-0.570288,0.5955574074696746,0.346293,0.47877892352107565,1.7288490000000003,1.8302800230134189
9.200000000000001,0.8953260000000002,0.5866020908742143,-0.570615,0.6132802835360028,0.34465799999999996,0.47956910741414527,1.722963,1.79913729926818
9.4,0.86328,0.5255621476780838,-0.591216,0.5994385406678486,0.354141,0.47924435472731447,1.7115179999999999,1.820776228542651
9.600000000000001,0.8358120000000001,0.5065741901182886,-0.6127980000000001,0.6103104382508954,0.35119799999999995,0.46825737774646975,1.6961490000000001,1.8404963118153757
9.8,0.8750520000000002,0.5706306470634048,-0.595794,0.6151041233661176,0.36951,0.4838338234166768,1.695168,1.77715417771616
10.0,0.893364,0.5687162716381517,-0.600045,0.6109193197992678,0.34040700000000007,0.46262098919309746,1.7111910000000001,1.8053094586917777
10.200000000000001,0.9133109999999999,0.582364324376073,-0.594159,0.5733799307387729,0.35152500000000003,0.440253982039913,1.716423,1.771569451869726
10.4,0.945357,0.6026440553776333,-0.580752,0.6141514440054667,0.36656700000000003,0.45862866216362885,1.7154420000000001,1.7341990501963724
